Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,Referral Score,,
152,Hardware,42,0,3,No,Explorer,1,3.27,68000,6,0,1
153,Software,38,0,1,Yes,Explorer,2,2.42,83000,7,0,1
154,Software,40,1,1,Yes,Sentinel,3,1.53,53000,5,0,1
155,Software,44,1,2,No,Explorer,6,2.41,94200,9,0,1
156,Hardware,61,0,4,Yes,Diplomat,4,1.87,103000,9,0,1
157,Hardware,60,1,2,Yes,Diplomat,3,4,122000,8,0,1
158,Hardware,41,0,1,Yes,Explorer,1,4,81000,7,0,1
159,Software,56,1,2,Yes,Analyst,3,3.52,54800,4,0,1
160,Software,26,0,1,Yes,Sentinel,4,2.07,66000,5,0,1
161,Software,52,0,1,Yes,Explorer,1,3.5,87000,7,0,1
162,Software,31,0,1,Yes,Diplomat,3,1.41,73000,6,0,1
163,Software,32,0,4,Yes,Explorer,3,2.37,63000,6,0,1
164,Software,55,0,2,Yes,Diplomat,0,2.28,40000,5,0,1
165,Hardware,50,1,2,Yes,Diplomat,4,3.49,122000,8,0,1
166,Hardware,31,0,2,Yes,Diplomat,3,2.64,71000,6,0,1
167,Software,36,1,1,Yes,Diplomat,6,1.93,105800,8,0,1
168,Software,29,1,1,Yes,Diplomat,1,3.87,46200,4,0,1
169,Hardware,54,0,10,Yes,Sentinel,3,3.15,86000,8,0,1
170,Software,55,0,4,Yes,Explorer,4,2.69,116000,9,0,1
171,Software,31,0,1,Yes,Diplomat,5,3.42,77000,4,0,1
172,Hardware,25,1,4,Yes,Analyst,2,1.19,41000,3,0,1
173,Software,26,0,1,No,Sentinel,3,3.84,49000,4,0,1
174,Hardware,38,0,3,Yes,Diplomat,2,2.96,70000,7,0,1
175,Hardware,28,0,2,Yes,Explorer,2,1.35,47000,5,0,1
176,Software,22,0,1,Yes,Sentinel,3,2.28,47000,4,0,1
177,Software,23,0,1,Yes,Diplomat,0,3.43,51000,7,0,1
178,Software,51,0,1,No,Diplomat,6,1.67,67000,4,0,1
179,Software,24,0,1,No,Diplomat,2,3.71,35000,4,0,1
180,Software,44,1,2,No,Explorer,1,1.87,53200,3,0,1
181,Hardware,31,0,1,Yes,Diplomat,1,1.43,61000,4,0,1
182,Software,36,1,1,Yes,Diplomat,4,3.5,89800,10,0,1
183,Software,34,1,3,Yes,Diplomat,5,3.82,79200,10,0,1
184,Software,28,1,2,Yes,Sentinel,3,3.98,71400,6,0,1
185,Hardware,29,1,1,Yes,Sentinel,1,1.65,57200,3,0,1
186,Hardware,57,0,2,Yes,Diplomat,3,2.98,59000,7,0,1
187,Software,38,1,1,Yes,Sentinel,3,3.1,60400,4,0,1
188,Hardware,58,0,1,Yes,Explorer,1,2.39,70000,6,0,1
189,Software,53,1,1,Yes,Explorer,3,1.49,71400,5,0,1
190,Software,34,1,1,Yes,Explorer,3,1.38,61200,5,0,1
191,Software,42,0,4,Yes,Diplomat,4,1.92,95000,8,0,1
192,Hardware,63,1,1,No,Diplomat,1,1.99,63400,4,0,1
193,Software,35,0,2,Yes,Sentinel,2,3.7,62000,4,0,1
194,Hardware,53,1,2,No,Diplomat,4,1.32,54400,6,0,1
195,Hardware,57,0,2,Yes,Analyst,4,3.12,72000,6,0,1
196,Software,49,0,1,Yes,Sentinel,0,2.9,66000,4,0,1
197,Hardware,42,0,2,Yes,Explorer,3,1.13,77000,5,0,1
198,Hardware,38,1,6,Yes,Explorer,1,1.9,98400,5,0,1
199,Software,50,1,6,No,Explorer,3,1.65,51000,7,0,1
200,Software,39,0,2,No,Analyst,0,3.59,49000,3,0,1
201,Software,56,1,1,Yes,Explorer,0,2.47,45800,2,0,1
202,Software,21,1,2,Yes,Diplomat,5,3.56,68800,9,0,1
203,Hardware,26,0,4,Yes,Sentinel,4,2.7,52000,4,0,1
204,Hardware,51,1,2,Yes,Diplomat,2,2.03,85800,9,0,1
205,Software,31,1,1,Yes,Explorer,2,3.98,65800,10,0,1
206,Software,35,1,8,Yes,Explorer,4,2.53,60000,8,0,1
207,Software,27,1,2,Yes,Explorer,3,3.77,64600,10,0,1
208,Hardware,64,0,3,Yes,Explorer,0,1.58,45000,4,0,1
209,Software,56,0,8,Yes,Explorer,6,3.22,112000,10,0,1
210,Hardware,28,0,7,Yes,Diplomat,5,2.32,72000,10,0,1
211,Hardware,48,0,7,Yes,Explorer,3,2.91,117000,7,0,1
212,Software,52,0,1,No,Explorer,4,1.98,69000,4,0,1
213,Software,53,0,2,No,Diplomat,1,2.51,73000,7,0,1
214,Software,37,1,1,Yes,Explorer,4,3.72,131600,9,0,1
215,Hardware,37,0,1,Yes,Sentinel,2,3.35,73000,4,0,1
216,Software,53,0,1,No,Sentinel,2,1.54,58000,3,0,1
217,Hardware,40,0,2,Yes,Diplomat,3,3.55,85000,9,0,1
218,Hardware,42,1,7,Yes,Explorer,0,2.5,52600,10,0,1
219,Software,50,1,8,Yes,Diplomat,4,3.38,67000,9,0,1
220,Software,43,1,2,Yes,Diplomat,5,1.67,97400,9,0,1
221,Software,42,0,1,Yes,Explorer,0,2.49,56000,3,0,1
222,Hardware,40,1,1,No,Explorer,5,1.98,64000,7,0,1
223,Software,35,0,5,No,Sentinel,4,1.18,65000,7,0,1
224,Hardware,47,0,2,Yes,Diplomat,3,1.72,93000,7,0,1
225,Hardware,53,0,4,Yes,Diplomat,2,3.16,66000,4,0,1
226,Hardware,43,1,2,No,Diplomat,2,1.79,65400,6,0,1
227,Hardware,51,0,2,No,Diplomat,0,1.76,61000,4,0,1
228,Hardware,50,1,9,Yes,Sentinel,0,4,63000,6,0,1
229,Software,35,0,3,Yes,Explorer,3,3.7,90000,8,0,1
230,Hardware,30,0,2,No,Diplomat,0,4,79000,5,0,1
231,Hardware,60,0,2,Yes,Explorer,1,2.04,54000,7,0,1
232,Software,24,1,7,Yes,Diplomat,1,1.82,56200,8,0,1
233,Hardware,28,0,1,Yes,Analyst,2,2.24,45000,3,0,1
234,Hardware,56,0,2,Yes,Sentinel,3,1.93,61000,3,0,1
235,Software,26,0,2,No,Analyst,2,3.41,44000,3,0,1
236,Hardware,62,0,2,Yes,Explorer,5,3.63,127000,10,0,1
237,Software,37,0,1,Yes,Sentinel,1,2.88,60000,6,0,1
238,Hardware,27,0,1,No,Explorer,3,1.99,69000,6,0,1
239,Hardware,58,1,1,No,Diplomat,1,3.15,70400,7,0,1
240,Hardware,45,1,1,Yes,Explorer,3,3.42,70000,9,0,1
241,Hardware,64,0,1,Yes,Explorer,1,4,76000,10,0,1
242,Hardware,45,1,1,Yes,Explorer,2,4,67000,8,0,1
243,Hardware,33,0,5,Yes,Explorer,2,2.18,82000,7,0,1
244,Hardware,43,0,1,Yes,Diplomat,0,2.12,71000,3,0,1
245,Hardware,49,0,2,Yes,Diplomat,1,2.33,79000,8,0,1
246,Hardware,28,0,2,Yes,Diplomat,2,3.66,82000,8,0,1
247,Software,46,1,1,Yes,Sentinel,1,1.47,58800,3,0,1
248,Software,47,1,1,Yes,Diplomat,2,1.94,89600,5,0,1
249,Hardware,44,0,2,Yes,Explorer,2,2.83,115000,6,0,1
250,Software,33,0,2,Yes,Analyst,0,1.73,51000,2,0,1
251,Software,48,0,4,Yes,Diplomat,1,1.84,72000,7,0,1
252,Hardware,63,0,2,Yes,Sentinel,5,3.49,133000,8,0,1
253,Software,38,1,2,Yes,Diplomat,4,3.33,80400,6,0,1
254,Software,47,0,1,Yes,Analyst,2,2.12,57000,7,0,1
255,Software,25,0,1,Yes,Explorer,2,2.89,79000,7,0,1
256,Hardware,49,0,10,Yes,Explorer,4,2.52,127000,6,0,1
257,Software,48,0,1,No,Diplomat,1,3.35,62000,6,0,1
258,Software,25,1,1,Yes,Explorer,6,1.16,74000,7,0,1
259,Hardware,39,0,1,Yes,Diplomat,2,2.12,112000,5,0,1
260,Software,29,0,1,Yes,Explorer,5,2.74,78000,8,0,1
261,Software,45,1,3,Yes,Diplomat,3,2.9,74000,7,0,1
262,Hardware,35,0,6,Yes,Diplomat,1,3.79,90000,8,0,1
263,Hardware,30,0,4,Yes,Diplomat,2,2.5,69000,8,0,1
264,Software,28,0,1,Yes,Analyst,6,1.5,63000,6,0,1
265,Hardware,41,0,1,No,Sentinel,4,1.35,51000,4,0,1
266,Software,51,1,2,Yes,Diplomat,3,2.95,80800,10,0,1
267,Hardware,56,0,9,No,Diplomat,1,3.28,68000,4,0,1
268,Software,56,0,12,No,Explorer,0,1.49,53000,5,0,1
269,Software,53,0,1,Yes,Diplomat,4,2.03,91000,6,0,1
270,Software,49,0,2,Yes,Diplomat,2,3.18,83000,9,0,1
271,Software,22,1,1,Yes,Explorer,3,3.94,62600,7,0,1
272,Software,25,0,2,No,Diplomat,4,2.67,45000,8,0,1
273,Software,35,0,1,Yes,Analyst,5,3.08,72000,5,0,1
274,Hardware,47,0,10,Yes,Diplomat,1,1.22,93000,5,0,1
275,Hardware,62,1,2,Yes,Diplomat,3,3.29,79600,7,0,1
276,Hardware,63,1,11,Yes,Explorer,4,2.3,82400,8,0,1
277,Hardware,59,1,1,Yes,Explorer,3,3.57,83200,9,0,1
278,Hardware,38,0,3,Yes,Explorer,2,4,84000,9,0,1
279,Hardware,43,0,11,No,Sentinel,3,1.93,73000,8,0,1
280,Software,40,1,2,Yes,Explorer,1,2.13,54000,4,0,1
281,Software,36,0,2,Yes,Explorer,3,2.23,69000,4,0,1
282,Software,33,0,2,Yes,Explorer,5,3.87,122000,9,0,1
283,Hardware,54,1,1,Yes,Diplomat,0,2.36,68200,7,0,1
284,Software,44,0,2,Yes,Explorer,5,3.62,74000,9,0,1
285,Hardware,37,0,6,Yes,Diplomat,2,2.34,79000,8,0,1
286,Software,38,1,10,Yes,Sentinel,5,1.13,70400,7,0,1
287,Hardware,49,1,9,No,Diplomat,4,2.79,88200,9,0,1
288,Hardware,49,0,3,Yes,Diplomat,1,3.98,145000,6,0,1
289,Software,51,1,2,Yes,Diplomat,0,1.76,61800,4,0,1
290,Software,39,0,1,No,Sentinel,1,2.25,52000,2,0,1
291,Hardware,28,1,2,No,Sentinel,2,3.06,51400,4,0,1
292,Hardware,43,0,2,Yes,Diplomat,5,3.47,127000,8,0,1
293,Software,38,0,1,Yes,Diplomat,6,1.75,142000,7,0,1
294,Software,31,0,2,Yes,Explorer,1,3.84,99000,8,0,1
295,Hardware,49,1,1,Yes,Analyst,0,1.48,51200,3,0,1
296,Hardware,55,0,1,Yes,Analyst,3,1.45,62000,3,0,1
297,Hardware,42,1,1,Yes,Diplomat,2,1.76,72600,7,0,1
298,Software,31,0,1,No,Explorer,5,3.05,78000,6,0,1
299,Hardware,43,0,11,No,Sentinel,5,3.26,135000,10,0,1
300,Hardware,43,1,2,Yes,Analyst,0,1.91,48400,3,0,1
301,Software,31,0,8,No,Diplomat,3,3.55,55000,9,0,1
302,Software,48,0,1,Yes,Diplomat,4,3.31,74000,7,0,1
303,Software,39,0,1,Yes,Diplomat,3,3.52,113000,9,0,1
304,Hardware,36,0,1,No,Explorer,3,2.59,79000,8,0,1
305,Software,26,1,4,Yes,Explorer,1,3.88,80800,9,0,1
306,Hardware,35,0,2,No,Explorer,1,2.27,49000,6,0,1
307,Software,31,1,6,Yes,Diplomat,2,2.73,66800,4,0,1
308,Software,39,1,1,Yes,Diplomat,3,3.18,77200,9,0,1
309,Hardware,44,1,1,Yes,Explorer,2,2.13,64200,5,0,1
310,Hardware,31,0,2,Yes,Sentinel,1,2.59,53000,3,0,1
311,Software,52,1,2,Yes,Explorer,3,2.73,66600,6,0,1
312,Hardware,56,0,2,No,Diplomat,3,2.06,75000,6,0,1
313,Hardware,45,1,1,No,Diplomat,5,3.62,103000,8,0,1
314,Software,45,1,2,Yes,Explorer,6,1.71,72000,5,0,1
315,Hardware,34,1,1,Yes,Diplomat,2,2,66200,8,0,1
316,Hardware,44,0,7,No,Explorer,3,2.1,78000,5,0,1
317,Software,41,1,2,Yes,Explorer,1,1.61,67800,5,0,1
318,Software,24,1,2,Yes,Diplomat,2,2.77,64200,8,0,1
319,Software,46,1,2,Yes,Diplomat,0,3.24,54800,2,0,1
320,Hardware,38,0,2,No,Analyst,6,1.58,72000,6,0,1
321,Software,25,1,2,No,Explorer,5,2.31,76000,5,0,1
322,Hardware,36,1,2,Yes,Diplomat,0,1.35,44800,5,0,1
323,Hardware,53,0,10,No,Diplomat,3,2.56,69000,9,0,1
324,Software,54,0,1,Yes,Sentinel,4,2.6,49000,4,0,1
325,Software,34,1,1,No,Explorer,1,1.29,52200,3,0,1
326,Hardware,59,1,6,Yes,Diplomat,1,2.38,54200,7,0,1
327,Software,32,0,2,Yes,Explorer,5,3.77,69000,5,0,1
328,Software,27,1,8,No,Diplomat,3,2.45,60600,8,0,1
329,Software,51,1,1,Yes,Diplomat,6,3.34,95800,8,0,1
330,Software,52,1,8,Yes,Analyst,6,2.44,63600,10,0,1
331,Hardware,64,0,1,No,Sentinel,5,2.23,72000,4,0,1
332,Hardware,28,1,6,Yes,Diplomat,1,2.17,60400,7,0,1
333,Software,26,0,2,No,Explorer,1,3,39000,6,0,1
334,Hardware,46,1,4,Yes,Diplomat,1,2.05,78800,8,0,1
335,Software,29,1,2,Yes,Explorer,3,2.98,74200,10,0,1
336,Software,23,0,2,No,Explorer,1,3.87,56000,7,0,1
337,Software,41,0,10,No,Explorer,2,1.39,72000,7,0,1
338,Software,46,0,2,Yes,Diplomat,1,3.54,76000,7,0,1
339,Hardware,61,0,1,Yes,Explorer,5,3.76,133000,10,0,1
340,Hardware,55,0,1,Yes,Explorer,2,2.59,83000,10,0,1
341,Software,48,1,2,Yes,Diplomat,6,3.39,100400,9,0,1
342,Software,22,1,2,Yes,Sentinel,0,2.65,39600,3,0,1
343,Software,27,1,10,Yes,Explorer,4,3.86,101600,9,0,1
344,Software,31,1,1,Yes,Explorer,4,3.32,81800,8,0,1
345,Hardware,46,0,1,Yes,Analyst,3,3.01,62000,8,0,1
346,Hardware,27,0,6,No,Diplomat,2,2.29,55000,6,0,1
347,Software,51,0,11,Yes,Diplomat,1,1.54,85000,4,0,1
348,Software,55,0,1,No,Diplomat,4,2.1,84000,8,0,1
349,Software,54,1,2,Yes,Explorer,5,2.78,101200,10,0,1
350,Hardware,56,1,2,Yes,Diplomat,5,2.74,120800,8,0,1
351,Hardware,36,0,1,Yes,Analyst,1,3.07,53000,4,0,1
352,Hardware,44,0,10,Yes,Diplomat,0,3.64,67000,9,0,1
353,Hardware,55,0,2,Yes,Sentinel,6,1.78,87000,9,0,1
354,Hardware,56,0,2,Yes,Analyst,3,2.93,98000,5,0,1
355,Hardware,56,0,2,No,Explorer,5,2.64,114000,7,0,1
356,Software,51,0,1,Yes,Explorer,5,1.51,87000,7,0,1
357,Software,47,1,10,Yes,Diplomat,4,1.84,89600,7,0,1
358,Software,45,1,2,Yes,Explorer,1,3.62,95000,6,0,1
359,Software,23,1,1,Yes,Explorer,4,2.81,49400,5,0,1
360,Hardware,28,0,6,Yes,Explorer,1,1.69,66000,5,0,1
361,Software,47,0,1,Yes,Diplomat,5,1.77,86000,6,0,1
362,Software,46,1,1,Yes,Diplomat,2,2.15,62800,9,0,1
363,Hardware,44,1,2,Yes,Diplomat,2,3.87,67200,6,0,1
364,Hardware,59,0,2,Yes,Analyst,6,2.52,88000,8,0,1
365,Software,46,1,1,Yes,Sentinel,4,1.69,75800,4,0,1
366,Software,26,0,5,Yes,Diplomat,4,2.17,62000,5,0,1
367,Software,42,1,2,Yes,Explorer,0,1.19,53600,3,0,1
368,Hardware,28,0,1,Yes,Diplomat,2,3.17,57000,4,0,1
369,Software,32,1,1,Yes,Explorer,2,2.66,56600,4,0,1
370,Hardware,58,0,1,No,Explorer,3,3.41,82000,4,0,1
371,Hardware,64,0,2,No,Sentinel,0,3.92,34000,2,0,1
372,Software,54,1,2,No,Diplomat,2,2.22,72200,6,0,1
373,Hardware,27,1,1,Yes,Diplomat,1,2.09,43600,6,0,1
374,Hardware,40,1,2,Yes,Explorer,0,2.97,49000,4,0,1
375,Software,52,0,1,Yes,Diplomat,1,1.99,65000,6,0,1
376,Hardware,30,0,1,Yes,Sentinel,2,2.35,53000,4,0,1
377,Software,39,0,2,Yes,Diplomat,1,3.16,80000,5,0,1
378,Software,53,1,2,Yes,Sentinel,3,1.71,66400,5,0,1
379,Hardware,59,0,6,Yes,Diplomat,1,4,75000,6,0,1
380,Hardware,55,0,5,Yes,Explorer,4,1.62,143000,5,0,1
381,Software,52,1,2,Yes,Explorer,3,2.89,84600,9,0,1
382,Software,49,0,3,Yes,Sentinel,2,3.3,76000,6,0,1
383,Software,48,1,5,Yes,Explorer,1,3.61,84400,9,0,1
384,Software,42,0,1,Yes,Explorer,1,2.15,48000,4,0,1
385,Hardware,31,0,2,No,Diplomat,5,4,124000,10,0,1
386,Software,55,0,2,Yes,Analyst,6,1.65,96000,4,0,1
387,Software,33,0,1,No,Explorer,1,3.37,65000,10,0,1
